sample_id,domain,model,task_id,standard,n_standard,standard_rate,standard_any_success,standard_stable_failure,standard_unstable,standard_stable_success
E18-TAU2-ALLFAIL-001,airline,openai/bytedance/doubao-seed-2-1-pro,0,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-002,airline,openai/bytedance/doubao-seed-2-1-pro,1,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-003,airline,openai/bytedance/doubao-seed-2-1-pro,10,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-004,airline,openai/bytedance/doubao-seed-2-1-pro,11,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-005,airline,openai/bytedance/doubao-seed-2-1-pro,12,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-006,airline,openai/bytedance/doubao-seed-2-1-pro,13,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-007,airline,openai/bytedance/doubao-seed-2-1-pro,14,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-008,airline,openai/bytedance/doubao-seed-2-1-pro,15,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-009,airline,openai/bytedance/doubao-seed-2-1-pro,16,2,5,0.4000,1,0,1,0
E18-TAU2-ALLFAIL-010,airline,openai/bytedance/doubao-seed-2-1-pro,17,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-011,airline,openai/bytedance/doubao-seed-2-1-pro,18,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-012,airline,openai/bytedance/doubao-seed-2-1-pro,19,0,5,0.0000,0,1,0,0
E18-TAU2-ALLFAIL-013,airline,openai/bytedance/doubao-seed-2-1-pro,2,1,5,0.2000,1,0,1,0
E18-TAU2-ALLFAIL-014,airline,openai/bytedance/doubao-seed-2-1-pro,3,5,5,1.0000,1,0,0,1
E18-TAU2-ALLFAIL-015,airline,openai/bytedance/doubao-seed-2-1-pro,4,3,5,0.6000,1,0,1,0
