domain,model,task_id,standard,policy,react,n_standard,n_policy,n_react,react_repairs_standard_failure,policy_repairs_standard_failure,any_scaffold_repairs_standard_failure,react_beats_simpler,policy_beats_standard,simpler_matches_or_beats_react,react_unstable,strict_stable_react_only
airline,openai/bytedance/doubao-seed-2-1-pro,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,13,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,16,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,19,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/bytedance/doubao-seed-2-1-pro,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,13,1,1,1,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,14,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,15,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,16,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,18,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,19,1,1,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,5,0,1,0,1,1,1,0,1,1,0,1,1,0,0
airline,openai/deepseek/deepseek-v4-pro,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,7,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/deepseek/deepseek-v4-pro,9,0,1,1,1,1,1,1,1,1,0,1,1,0,0
airline,openai/qwen/qwen3.7-plus,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,10,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,12,0,0,0,1,1,1,0,0,0,0,0,1,0,0
airline,openai/qwen/qwen3.7-plus,13,1,0,0,1,1,1,0,0,0,0,0,1,0,0
